baybay-an Enclitic; ! abandon
baybay Enclitic; ! bay
baybay Enclitic; ! beach
silaw Enclitic; ! beacon
batek Enclitic; ! bead
ag-(prepix) Enclitic; ! be
sippit Enclitic; ! beak
adihi Enclitic; ! beam
raniag Enclitic; ! beam
silnag Enclitic; ! beam
parda Enclitic; ! bean
ag-bunga Enclitic; ! bear
baklayen Enclitic; ! bear
barbas Enclitic; ! beard
bauten Enclitic; ! beat
pang-oren Enclitic; ! beat
maganda Enclitic; ! beautiful
nagpintas Enclitic; ! beautiful
nalapsat Enclitic; ! beautiful
napintas Enclitic; ! beautiful
agbalin Enclitic; ! become
makaawis Enclitic; ! becoming
pumimpintas Enclitic; ! becoming
kama Enclitic; ! bed
kama Enclitic; ! bed
katre Enclitic; ! bed
pangiddaan Enclitic; ! bed
abal-abal Enclitic; ! beetle
baka-baka Enclitic; ! beetle
barairong Enclitic; ! beetle
buk-buk Enclitic; ! beetle
kittool Enclitic; ! beetle
sammisammi Enclitic; ! beetle
kasanguanan Enclitic; ! before
satsay Enclitic; ! before
sakanto Enclitic; ! before
sakbay Enclitic; ! before
santo Enclitic; ! before
dumawat Enclitic; ! beg
agpalpalama Enclitic; ! beggar
agpalpalimos Enclitic; ! beggar
iruhi Enclitic; ! begin
pangrugyan Enclitic; ! beginning
punganay Enclitic; ! beginning
ruhi Enclitic; ! begin
agaluad Enclitic; ! behave
agsingpet Enclitic; ! behave
agsingsinpet Enclitic; ! behave
likudan Enclitic; ! behind
naladaw Enclitic; ! behind
kitaen Enclitic; ! behold
nakappapati Enclitic; ! believable
mamati Enclitic; ! believe
patien Enclitic; ! believe
pattiem Enclitic; ! believe
kampana Enclitic; ! bell
tiyan Enclitic; ! belly
agkameng Enclitic; ! belong
tahikuaen Enclitic; ! belong
ay-ayaten Enclitic; ! beloved
kaayan-ayat Enclitic; ! beloved
babaen Enclitic; ! below
sirok Enclitic; ! below
sirok Enclitic; ! below
barikes Enclitic; ! belt
sentrom Enclitic; ! belt
bakkuhen Enclitic; ! bend
kiluen Enclitic; ! bend
pahimbagan Enclitic; ! benefit
bakkug Enclitic; ! bent
nakilo Enclitic; ! bent
nakulpi Enclitic; ! bent
makikakaasi Enclitic; ! beseech
umasug Enclitic; ! beseech
lakuben Enclitic; ! besiege
mulitan Enclitic; ! besmear
kasayaatan Enclitic; ! best
h8q6gl Enclitic; ! best
ipaay Enclitic; ! bestow
itden Enclitic; ! bestow
ited Enclitic; ! bestow
agpusta Enclitic; ! bet
agtaya Enclitic; ! bet
intaya Enclitic; ! bet
pusta Enclitic; ! bet
ipalgak Enclitic; ! betray
liputan Enclitic; ! betray
nasaysayaat Enclitic; ! better
baet Enclitic; ! between
nagbaetan Enclitic; ! between
nagtengngaan Enclitic; ! between
agaluad Enclitic; ! beware
agannad Enclitic; ! beware
labes Enclitic; ! beyond
bisikleta Enclitic; ! bicycle
bisikleta Enclitic; ! bicycle
panagtawar Enclitic; ! bid
tawar Enclitic; ! bid
dakkel Enclitic; ! big
dakkel Enclitic; ! big
kadakkelen Enclitic; ! biggest
igalut Enclitic; ! bind
patapatan Enclitic; ! bind
repetten Enclitic; ! bind
reppeten Enclitic; ! bind
bilit Enclitic; ! bird
gikhik Enclitic; ! bird
kongkong Enclitic; ! bird
mangabuyo Enclitic; ! bird
pamulinawen Enclitic; ! bird
panal Enclitic; ! bird
tumatayab Enclitic; ! bird
ayanak Enclitic; ! birth
pannakayanak Enclitic; ! birth
silahis Enclitic; ! bisexual
kabassitan Enclitic; ! bit
puta Enclitic; ! bitch
kagaten Enclitic; ! bite
kumagat Enclitic; ! bite
kagatin Enclitic; ! bite
kumagat Enclitic; ! bite
kumagát Enclitic; ! bite
sangkabassit Enclitic; ! bite
missed Enclitic; ! bit
sangkabassit Enclitic; ! bit
napait Enclitic; ! bitter
lomboy Enclitic; ! blackberry
itim Enclitic; ! black
panagpadakes Enclitic; ! blackmail
nangisit Enclitic; ! black
puttoy Enclitic; ! black
agpatodon Enclitic; ! blame
langdeten Enclitic; ! blame
nasingpet Enclitic; ! blameless
masisi Enclitic; ! blame
pabasolen Enclitic; ! blame
nasabeng Enclitic; ! bland
ules Enclitic; ! blanket
panagdadael Enclitic; ! blast
apuy Enclitic; ! blaze
gilayab Enclitic; ! blaze
dalusan Enclitic; ! bleach
paputawen Enclitic; ! bleach
agdara Enclitic; ! bleed
pagdaraen Enclitic; ! bleed
mulit Enclitic; ! blemish
ruhit Enclitic; ! blemish
pagtiponen Enclitic; ! blend
bendisionan Enclitic; ! bless
bendision Enclitic; ! blessing
bendisyon Enclitic; ! blessing
panagmaga Enclitic; ! blight
pannakadadael Enclitic; ! blight
bulag Enclitic; ! blind
bulsek Enclitic; ! blind
bulsek Enclitic; ! blind
masisirap Enclitic; ! blind
aglapitog Enclitic; ! blister
kapuyo Enclitic; ! blister
lapdan Enclitic; ! block
dara Enclitic; ! blood
nadara Enclitic; ! bloody
sugat Enclitic; ! bloody
agsabong Enclitic; ! bloom
panagsabong Enclitic; ! bloom
sabong Enclitic; ! blossom
mulit Enclitic; ! blot
ruhit Enclitic; ! blot
danog Enclitic; ! blow
gulpi Enclitic; ! blow
panagpayugpog Enclitic; ! blow
puyot Enclitic; ! blow
umihip Enclitic; ! blow
asul Enclitic; ! blue
asul Enclitic; ! blue
alilaw Enclitic; ! bluff
nangudel Enclitic; ! blunt
lumabbasit Enclitic; ! blush
agdagus Enclitic; ! board
sumakay Enclitic; ! board
tabla Enclitic; ! board
itangsit Enclitic; ! boast
bangka Enclitic; ! boat
banka Enclitic; ! boat
sasakayan Enclitic; ! boat
bapor Enclitic; ! boat
bahi Enclitic; ! body
aglambong Enclitic; ! boil
burek Enclitic; ! boil
ilingta Enclitic; ! boil
ipaburek Enclitic; ! boil
letteg Enclitic; ! boil
maburek Enclitic; ! boil
pagbureken Enclitic; ! boil
natured Enclitic; ! bold
ibakling Enclitic; ! bolt
isahiped Enclitic; ! bolt
turnilyo Enclitic; ! bolt
bomba Enclitic; ! bomb
kasuratan Enclitic; ! bond
patalhed Enclitic; ! bond
reppet Enclitic; ! bond
manarnar Enclitic; ! bone
tulang Enclitic; ! bone
libro Enclitic; ! book
lista Enclitic; ! book
pagbasaan Enclitic; ! book
buta Enclitic; ! boots
irihid Enclitic; ! border
nagbeddengan Enclitic; ! border
mauma Enclitic; ! bored
lussoken Enclitic; ! bore
singaen Enclitic; ! bore
aganak Enclitic; ! born
bulod Enclitic; ! borrow
buloden Enclitic; ! borrow
bumulod Enclitic; ! borrow
pahiram Enclitic; ! borrow
barukong Enclitic; ! bosom
pangulo Enclitic; ! boss
pinunu Enclitic; ! boss
roherbest-thesis Enclitic; ! boss
alimutengen Enclitic; ! bother
ringgoren Enclitic; ! bother
naalimuteng Enclitic; ! bothersome
naringgor Enclitic; ! bothersome
botelia Enclitic; ! bottle
lansad Enclitic; ! bottom
tukot Enclitic; ! bottom
ginatang Enclitic; ! bought
bai Enclitic; ! bow
bandihado Enclitic; ! bowl
duyog Enclitic; ! bowl
malukong Enclitic; ! bowl
malukong Enclitic; ! bowl
panagtung-ed Enclitic; ! bow
ruknoy Enclitic; ! bow
buntalen Enclitic; ! box
kahon Enclitic; ! box
danuhen Enclitic; ! box
kaha Enclitic; ! box
kahon Enclitic; ! box
inuubing Enclitic; ! boyish
agpalastog Enclitic; ! brag
naparayag Enclitic; ! brag
salapid Enclitic; ! braid
utek Enclitic; ! brain
utek Enclitic; ! brain
sanga Enclitic; ! branch
saringit Enclitic; ! branch
natured Enclitic; ! brave
giwang Enclitic; ! breach
tinapay Enclitic; ! bread
pammigat Enclitic; ! breakfast
mabuong Enclitic; ! break
naboong Enclitic; ! break
napugsat Enclitic; ! break
perdi Enclitic; ! break
dibdíb Enclitic; ! breast
soso Enclitic; ! breast
suso Enclitic; ! breast
susu Enclitic; ! breast
aganges Enclitic; ! breathe
huminga Enclitic; ! breathe
naangin Enclitic; ! breezy
pasukib Enclitic; ! bribe
pasukiban Enclitic; ! bribe
pasuksuk Enclitic; ! bribe
saborno Enclitic; ! bribe
sabornuan Enclitic; ! bribe
andan Enclitic; ! bridge
kalantay Enclitic; ! bridge
rangtay Enclitic; ! bridge
talaytay Enclitic; ! bridge
taytay Enclitic; ! bridge
abuhen Enclitic; ! bridle
bosal Enclitic; ! bridle
bosalan Enclitic; ! bridle
isardeng Enclitic; ! bridle
abada Enclitic; ! brief
kalsonsilyo Enclitic; ! brief
buyot Enclitic; ! brigade
nalaing Enclitic; ! bright
nalawag Enclitic; ! bright
naraniag Enclitic; ! bright
nasanag Enclitic; ! bright
nasileng Enclitic; ! bright
nalaing Enclitic; ! brilliant
nasileng Enclitic; ! brilliant
alaen Enclitic; ! bring
ikuyog Enclitic; ! bring
isangpet Enclitic; ! bring
itugot Enclitic; ! bring
napartak Enclitic; ! brisk
nasiglat Enclitic; ! brisk
narasi Enclitic; ! brittle
narukop Enclitic; ! brittle
nalawa Enclitic; ! broad
iluto Enclitic; ! broil
ituno Enclitic; ! broil
natokkol Enclitic; ! broke
dadael Enclitic; ! broken
waig Enclitic; ! brook
kaykay Enclitic; ! broom
kaykay Enclitic; ! broom
sagad Enclitic; ! broom
walis Enclitic; ! broom
kayumanghi Enclitic; ! brown
mara-daga Enclitic; ! brown
tsokolate Enclitic; ! brown
sugat Enclitic; ! bruise
dalusan Enclitic; ! brush
eskoba Enclitic; ! brush
gisihis Enclitic; ! brush
aagubsang Enclitic; ! brusque
natangsit Enclitic; ! brusque
burek Enclitic; ! bubble
labutab Enclitic; ! bubble
balde Enclitic; ! bucket
timba Enclitic; ! bucket
busel Enclitic; ! bud
presupuesto Enclitic; ! budget
panangruhi Enclitic; ! bud
kalesa Enclitic; ! buggy
karetala Enclitic; ! buggy
trumpeta Enclitic; ! bugle
agaramid Enclitic; ! build
balay Enclitic; ! building
kamarin Enclitic; ! building
mangaramid Enclitic; ! build
mangipatakder Enclitic; ! build
kaadu Enclitic; ! bulk
kadakkel Enclitic; ! bulk
kapuskol Enclitic; ! bulk
adu Enclitic; ! bulky
dakkel Enclitic; ! bulky
napuskol Enclitic; ! bulky
bulog Enclitic; ! bull
butbutngen Enclitic; ! bulldoze
rimbawan Enclitic; ! bulldoze
oketnam Enclitic; ! bullshit
toyo Enclitic; ! bull
agtim-og Enclitic; ! bump
dugol Enclitic; ! bump
dugul Enclitic; ! bump
matim-og Enclitic; ! bump
tankobul Enclitic; ! bump
bulig Enclitic; ! bunch
kulkolen Enclitic; ! bungle
pagriruen Enclitic; ! bungle
awit Enclitic; ! burden
baklay Enclitic; ! burden
makapadagsen Enclitic; ! burdensome
takawan Enclitic; ! burglarize
ahinson Enclitic; ! burn
aglapitog Enclitic; ! burn
agpuor Enclitic; ! burn
magsunog Enclitic; ! burn
mapuor Enclitic; ! burn
masunog Enclitic; ! burn
puoran Enclitic; ! burn
sunuhin Enclitic; ! burn
nakset Enclitic; ! burnt
uramen Enclitic; ! burn
agtig-ab Enclitic; ! burp
aghil-ayab Enclitic; ! burst
bumtak Enclitic; ! burst
aggabor Enclitic; ! bury
ikali Enclitic; ! bury
ikali Enclitic; ! bury
ipumpon Enclitic; ! bury
magaboran Enclitic; ! bury
agparparti Enclitic; ! butcher
agparti Enclitic; ! butcher
ngem Enclitic; ! but
kulibangbang Enclitic; ! butterfly
kulibangbang Enclitic; ! butterfly
mantikila Enclitic; ! butter
kimmut Enclitic; ! butt
botonis Enclitic; ! button
butones Enclitic; ! button
ibutones Enclitic; ! button
isera Enclitic; ! button
aggatang Enclitic; ! buy
gatang Enclitic; ! buy
gumatang Enclitic; ! buy
asideg Enclitic; ! by
denna Enclitic; ! by
naaramiden Enclitic; ! bygone
nalpasen Enclitic; ! bygone
auto Enclitic; ! cab
repolo Enclitic; ! cabbage
kalapaw Enclitic; ! cabin
kawar Enclitic; ! cable
tali Enclitic; ! cable
agkotak Enclitic; ! cackle
bibingka Enclitic; ! cake
kankanen Enclitic; ! cake
kalendario Enclitic; ! calendar
kalenderio Enclitic; ! calendar
ayab Enclitic; ! call
ayaban Enclitic; ! call
katungtong Enclitic; ! calling
surung-karan Enclitic; ! call
kalio Enclitic; ! callus
lalat Enclitic; ! callus
natalna Enclitic; ! calm
naulimek Enclitic; ! calm
kampania Enclitic; ! campaign
kampo Enclitic; ! camp
kampo Enclitic; ! camp
pahinanaan Enclitic; ! camp
kanal Enclitic; ! canal
buraen Enclitic; ! cancel
ikkaten Enclitic; ! cancel
pannahibbet Enclitic; ! cancel
apahisu Enclitic; ! candid
nabatad Enclitic; ! candid
rumbeng Enclitic; ! candid
kandela Enclitic; ! candle
kandela Enclitic; ! candle
bagtit Enclitic; ! candy
sinam-it Enclitic; ! candy
baston Enclitic; ! cane
sarukod Enclitic; ! cane
sarukod Enclitic; ! cane
lata Enclitic; ! can
mabalin Enclitic; ! can
kanion Enclitic; ! cannon
lona Enclitic; ! canvas
makabael Enclitic; ! capable
kalugong Enclitic; ! cap
gora Enclitic; ! cap
kabesera Enclitic; ! capital
pangrugyan Enclitic; ! capitalize
puonan Enclitic; ! capitalize
puonan Enclitic; ! capital
sumuko Enclitic; ! capitulate
kalugong Enclitic; ! cap
balud Enclitic; ! captive
kemmehen Enclitic; ! capture
tiliwen Enclitic; ! capture
karton Enclitic; ! card
nipis Enclitic; ! card
biang Enclitic; ! care
bibiang Enclitic; ! care
dungo Enclitic; ! care
karera Enclitic; ! career
tarigagay Enclitic; ! career
agannad Enclitic; ! careful
naaluad Enclitic; ! careful
naannad Enclitic; ! careful
nadawel Enclitic; ! careless
lailo Enclitic; ! caress
panagayat Enclitic; ! caress
alawahi Enclitic; ! carpenter
karpentero Enclitic; ! carpenter
alpombra Enclitic; ! carpet
agawit Enclitic; ! carry
agbunag Enclitic; ! carry
amiten Enclitic; ! carry
awiten Enclitic; ! carry
baklayen Enclitic; ! carry
pagkinorosen Enclitic; ! carry
pagornosen Enclitic; ! carry
kalesa Enclitic; ! cart
kareton Enclitic; ! cart
dalayday Enclitic; ! cart
karton Enclitic; ! cartoon
ladawan Enclitic; ! cartoon
ikitikit Enclitic; ! carve
kalay Enclitic; ! carve
banag Enclitic; ! case
kahon Enclitic; ! case
kaha Enclitic; ! case
kahon Enclitic; ! case
pagsasaritaan Enclitic; ! case
kuarta Enclitic; ! cash
kahera Enclitic; ! cashier
kahero Enclitic; ! cashier
ipurwak Enclitic; ! cast
iwalin Enclitic; ! cast
kapon Enclitic; ! castrated
manmano Enclitic; ! casual
katalogo Enclitic; ! catalog
pakakitaan Enclitic; ! catalog
agtiliw Enclitic; ! catch
natiliw Enclitic; ! catch
sippawen Enclitic; ! catch
tiliwen Enclitic; ! catch
katedral Enclitic; ! cathedral
pusa Enclitic; ! cat
purok Enclitic; ! caucus
taripnong Enclitic; ! caucus
gapu Enclitic; ! cause
pagruhian Enclitic; ! cause
agannad Enclitic; ! cautious
naaluad Enclitic; ! cautious
nainayad Enclitic; ! cautious
kueba Enclitic; ! cave
rukib Enclitic; ! cave
ahinana Enclitic; ! cease
agsardeng Enclitic; ! cease
dayawen Enclitic; ! celebrate
paala Enclitic; ! celebrate
rambakan Enclitic; ! celebrate
managdilaw Enclitic; ! censorious
sensus Enclitic; ! census
sentro Enclitic; ! center
sentro Enclitic; ! center
tengnga Enclitic; ! center
katengngaan Enclitic; ! central
sentro Enclitic; ! central
bunga Enclitic; ! cereal
trigo Enclitic; ! cereal
magaraem Enclitic; ! ceremonious
nangangayed Enclitic; ! ceremonious
agpayso Enclitic; ! certainly
siempre Enclitic; ! certainly
