25 cent piece	binting
advantage	gundaway
advantage	pagsayaatan
adventurous	managpadas
adventurous	natured
adverb	adberbo
advertise	ipaamo
advertise	iwarnak
advertisement	pakaammo
advertisement	pakdaar
advertisement	pannakaiwarnak
advice	balakadan
advice	patigmaan
affair	aramid
affair	banag
affidavit	palawag a naisurat ken sinapataan
affiliate	makikadua
affiliate	makipagrikna
afford	panangipaay
afford	pannakabalin a mangted
afraid	agbuteng
afraid	maamak
afraid	mabain
afraid	mabuteng
afraid	matakot
afterbirth	kadkadua
after	kalpasan
after	kalpasan
afternoon	malem
afterwards	kalpasan
afterwards	no madamdama
again	manen
against	kabusor
against	maisupiat
aged	bery old
agency	ahensia
agency	sanga
agent	ahente
agent	pannakabahi
age	tawen
agile	nasiglat
agreeable	mannakikanunong
agree	kumanong
agree	maibagay
agreement	panagtunos
agreement	tulag
agree	umanamo
agriculture	panagmula
agriculture	panagtalon
ahead	immun-una
ahead	masanguanan
aid	badang
aid	tulong
aim	gandat
aim	panghep
air	angin
airmail	babaen ti aeroplano
airmail	surat sa maipatulod
airplane	eroplano
aisle	bassit a dalan
alarm	nariribuk
alarm	nawarnakan
alas	ay!
alcohol	alkohol
alcohol	arak
alienate	ipaganggannaet
alienate	isina
alien	ganggannaet
alight	agdisso
alight	bumaba
alignment	pakikipanig
alike	agkaingas
alike	agkarupa
alike	agpada
alive	nabyag
alive	nasaranta
alive	sibibiag
all	amin
alleged	akusar
allegiance	panagrukbab
allegiance	panagtalek
alligator	buaya
all	our
allow	ipalubos
allow	palubosan
allow	palugodan
ally	kadua
ally	gayyem
almighty	Mannakamalin Amin
almost	dandani
almost	nahistayan
alone	agmaymaysa
alone	agmay-maysa
aloud	napigsa a timek wenno ania man a mangted iti mangngeg
alphabet	dahiti letra manipud a inggana iti s
alphabet	kurditan
already	en
already	en (suppix) sakbay ti masinunuo a kanito
also	met
also	pay
altar	altar
although	nupay
although	uray
altitude	kangato
altogether	isu-amin
altogether	sapasap
always	agnanayon
amaranth	kuantong
a	maysa
amaze	agsiddaaw
amaze	butngen
amazed	agsiddaaw
amaze	pagsidaawen
ambassador	embahador
ambassador	pananakabahi ti maysa a pahilian
ambition	tarigagay
amend	baliwan
amend	paburaen
amiration	panagdayaw
among	kadahiti
amount	dagup
amount	gatad
ample	adu
ample	aumdas
ample	dakkel
am	siak
amulet	anting-anting
amusement	ayam
amusement	pagragsakan
amusing	maka-isem
anal	paubet
ancestor	immuna a kaputotan
anchor	sumanglad
ancient	daan
ancient	ugma
and	at
and	ken
and	ket
angelus	orasion
anger	pungtot
anger	unget
angry	buringetnget
angry	maassar
angry	marurud
angry	nakaunget
angry	naunget
angry	nauyong
anguish	rigat
anguish	sakit
animal	animal
animal	ayup
animal	hayop
ankle bone	lipay-lipay
ankle	gorong
ankle	lipay-lipay
ankle	n lipay-lipay (palay-palay)
ankle	uliteg
anniversary	anibersario
anniversary	annibersar
anniversary	panagtawen
announce	ipakaammo
announce	iwarnak
annoy	riribuken
annoy	singaen
annual	tinawen
another	maysa pay
another	sabali
answer letter	subalitan
answer	sumungbat
answer	sungbat
ant	aboos
ant	kuton
ant	kannit
ant	kuton
antler	sara
anus	kuriit
anus	ubet
anxiety	gagar
anxiety	iliw
anxious	madukotan
anxious	mailiw
anxious	nagagar
anxious	partakam
anybody	sia-sino man
anybody	siasino man
anyone	siasino man
anyone	uray asino
anything	ania man
anything	uray ania
anyway	no kasta
anyway	uray kasta
anyway	uray pay
anywhere	uray sadino man
apart	maipusing
apart	maisina
apartment	paabangan a siled
apartment	silid
aphid	aplat
apiece	iti maysa
apparatus	kasapulan
apparatus	ramramit
apparently	agparang
apparently	nalawag
apparition	al-alia
appeal	agdawat
appeal	agkiddaw
appear	agparang
appearance	langa
appear	lumgak
appear	nagpakita
appetizer	palutan
applaud	agpalakpak
apple	mansanas
application	panagtarigagay
application	panangipakat
apply	agtarigagay
apply	ipakat
appoint	dutokan
appoint	dutoken
appointment	pannakadutok
appreciate	bigbihen ti pategna
appreciate	dayawen
appreciate	idayaw
appreciation	panagdayar
appreciation	panangbibig iti pategna
apprentice	agdadamo
apprentice	katulongan
approach	asitgan
approach	umasideg
approve	anamongan
apricot	bunga ti kayo
apron	bidang
arbor	kayo
arch	arko
archipelago	purpuro
architect	arkitekto
ardor	pudot
ardor	reghet
area	kalawa wenno kadakkel ti daga
are	is
are	mapan
are	berbo auxiliar (adu)
argue	pannakisupiat
argue	sumungbat
argument	panagsinnungoat
argument	supiat
arise	bumangon
arise	tumakder
arithmetic	aritmetika
arm	braso
armor	kabal
armor	kalasag
arm over shoulder	agassibay
armpit	kilikili
armpit	kili-kili
arms	igam
arms	takklag
arm	takiag
army	buyot; noldado ti nasion
around	aglawlaw
around	aglikmut
arrangement	pannakaurnos
arrangement	urnos
arrange	urnos
arrange	urnosen
arrest	pannakatiliw
arrest	tiliwen
arrival	idadateng
arrival	isasangpet
arrive	dumteng
arrive	sangpet
arrive	sumangpet
arrogant	nai urai wtsa tse pb piakon kom2porme ya tai ammon tse tsa tsalo mangam ma laweng ya peleyon hen pren haan komporme
arrogant	natangsit
arrow	pana
articles	banag
articles	lako
articles	salaysay
art	laing
art	ste
as	kas iti
ascendancy	panagsang-at
ascendancy	panaguli
ascend	sumang-at
ascend	umuli
ascend	um-uli
ash	abo
ashamed	mabain
ash	dapo
ashes	dapo
ashore	takdang
aside from that	malak-sig iti dayta
aside	malaksid
aside	maysapay
as if	no kas
as	kas
ask	damag
ask	damahen
ask	dawat
ask	dumawat
ask	saludsoden
asleep	matmaturog
assail	darupen
assail	sabten
assault	busoren
assault	dangran
assemble	tipontiponen
assemble	ursongen
assemblyman	pannakabahi
assemblyman	representante
assembly	tipon himong; ummong
asshole	keret
asshole	kimmot
assign	dutokan
assign	ikeddeng
assign	ipaaramid
assignment	aramiden
assignment	keddeng
assignment	leksion
assignment	trabaho
assimilate	anahen
assimilation	pananganag
assistance	badang
assistance	tulong
assist	tulongan
associate	kadua
associate	katulongan
association	akuen
association	alaen
association	gunglo
association	yarig
assume	akuen
assume	alaen
assume	ipagarup
assume	yarig
assure	ipaneknek ipatalhed
astonishment	panagsiddaaw
astonish	pagsiddaawen
astray	naisisasi
asylum	hospital dahiti agbala
athletes foot	agtarindanum
at	idlay iti
at	sa
attach	isilpo
attach	itipon
attachment	ititipon
attachment	panagtipon
attack	gubaten
attack	rauten
attain	maragpat
attainment	naragpat
attainment	pannakaragpat
attain	ragpaten
attempt	gay-aten
attempt	padasen
attendant	babaonen
attendant	katulongan
attendant	ti tu-tulong
attend	tabunuan
attend	tamingen
Attention!	Pakdaar!
attention	panangikaso
attire	kawes
attire	lupot
attorney	abogado
attorney	mangilinteg
attract	awisen
attraction	andiyan
attraction	panangawis
attractive	maka-awis
attractive	maka ay-ayo
attractive	napintas
audacious	malaing
audacious	matured
audience	dum-dumngeg
a	umuna a letra ti alpabeto
auntie	ikit
aunt	ikit
aunt	tia
aunt	tita
author	akin-aramid
author	akin-gapauanan
authority	pannakabalin
authority	turay
authorize	palubosan
author	mannurat
automobile	kotse
aventure	panagpadas
average	kaduan
average	pagtengngaan
avid	napasnek
avoid	adayuan
avoid	liklikan
avoid	lisian
await	urayen
awake	agriing
awake	nakariing
awake	siririing
award	agsala
award	gantimpala
away	adayo
awe	buteng
awe	siddaaw
awesome	makapabuteng
awhile	apag-kanito
awhile	bassit a kanito
awhile	madama
awl	paglussok
awning	pagakkub
axe blow	sumayag
axle	ehe
ax	wasay
baby	ading
baby chick	piek
baby	tikkpiek
baby	inpiel
baby	mahal kita
babysit	agawawir
baby	tahibi
baby	ubing
bachelor	baru
back	balikid
back bone	dori-dori
back	bukot
back	bukot
back	likud
back	likod
back	likudan
back	likuran
backward	palikud
backward	pasanud
backwards	agsanud
backwards	tres
back yard	dingoen
bacon	karne ti baboy a nailuto iti asuk
bacon	tosino
bad	dakes
bad	di rumbeng
badge	medalia
badge	pag-ilasinan
badge	tanda
bad luck	malas
badly	dakes unay
badly	sidadakes
bad	madi
bad	maldito
bad	malditoa
bad	masama
baffle	pag-siddaawen
bagasse	nagpespesan nga unas
bagasse	nangusan
baggage	gargaret nga itugot iti biahe
bag	maleta
bag	supot
bail	piansa
bail out	agkaras
bail	patalhed ti maysa a banag
bake	lutuen iti urno
baker	agaramid itit tinapay
baker	panadero
bakery	pagaramidan itit tinapay
bakery	panaderia
balance	agtimbeng
balance	pagtimbangen
balance	panagpada
bald	kalbo
ball	bola
ballot	balota
ball	pasala
ballroom	pagsalaan
bamboo	bayug
bamboo	bikal
bamboo	bolo
bamboo bomb	bungbung
bamboo branches	pakris
bamboo	kawayan
bamboo	kawayan
bamboo	kawayan kiling
bamboo	pakris
bamboo	rabong
bamboo ties	banban
banana	agoklap
banana	alupasi
banana	bagio
banana bundle	bulig
banana	dato
banana	dippig
banana flower	agoklap
banana flower	sabunganay
banana	gaddil
banana	gloria
banana	guyod
banana	kamarines
banana	kanton
banana	lakatan
banana leaf	alupasi
banana leaf	palatang
banana plantation	agtungrow
banana plantation	kasabaan
banana	saba
banana	sabunganay
banana	seniorita
banana	siping
bananas	sapad
bananas	siping
banana sucker	subbual
banana	tondal
banana	tumok
bank	banko
bank	banko
banquet	bankete
banquet	padaya
baptism	buniag
baptism	salbatio
barefoot	agsakasaka
bargain	tawar
bar	kabaret
bark	agtaul
barker	agtaol
barker	manangawis
bark	husk
bark	taol
bark	ukis ti kayo
bark	ukis ti kayo
barn	kamarin
barrel	bariles
barren	a kas Sahara
barren	kadaratn
barren	di maapitan
barren	lupes
barricade	naisambot a linged ken saripda kadahiti kabusor
basement	baba
basement	sirok
base	nababa
base	pagbantayan
basin	palanggana
basket	basket
basket	kuribot
basket	labba
bat	kurarapnit pang-or
bath	digos
bathe	agdigos
bath	panagdigos
bathroom	pagdigusan a siled
bat	kurarapnit
bat	smalkurarapnit
bat	sodmk
battery	bateria
battle	dangadang
battle	ranget
bawl	bugtaken
bay	baybay
beach	baybay
beach	bye bye
beach	ihid ti baybay
beach	ihid ti taaw
beacon	silaw
bead	batek
bead	batik ti kuentas
be	ag-(prepix)
beak	sippit
beam	adihi
beam	raniag
beam	silnag
bean	parda
bear	ag-bunga
bear	baklayen
beard	barbas
beat	bauten
beat	pang-oren
Beautiful girl!	Napintas nga balasang!
beautiful	maganda
beautiful	nagpintas
beautiful	nalapsat
beautiful	napintas
beautiful	op ilokano words
beauty	imnas
beauty	libnos
beauty	pintas
be born	aganak
because	agsipud
because	dahil
because	gapu ta
because	kasi
because	ngamin
because	sapagkat
become	agbalin
becoming	makaawis
becoming	pumimpintas
bedbug	kiteb
bed	kama
bed	kama
bed	katre
bed	pangiddaan
bedroom	pagturogan a siled; siled a pahiddaan
bee	alig
beef	beepsteak (holibee)
beef	karne ti baka
beefsteak	iwa ti naingpas a karne ti baka
beer	alimbubuyog
beer	serbesa
beetle	abal-abal
beetle	baka-baka
beetle	barairong
beetle	buk-buk
beetle	kittool
beetle	sammisammi
bee	uyokan
before	kasanguanan
before	satsay
before	sakanto
before	sakbay
before	santo
beg	agdawat iti kaasi
beg	dumawat
beggar	agpalpalama
beggar	agpalpalimos
beggarliness	panagpalpalama
begin	iruhi
beginner	agdadamo
beginner	mangruruhi
beginning	pangrugyan
beginning	punganay
begin	ruhi
behalf	gudua
behave	agaluad
behave	agsingpet
behave	agsingsinpet
behavior	tignay
behind	iti likod
behind	likudan
behind	naladaw
behold	kitaen
believable	nakappapati
believe	mamati
believe	patien
believe	pattiem
belif	pammati
bell	kampana
belly	tiyan
belong	agkameng
belong	tahikuaen
beloved	ay-ayaten
beloved	kaayan-ayat
below	babaen
below	iti baba
below	sirok
below	sirok
belt	barikes
belt	sentrom
bend	bakkuhen
bend	kiluen
beneath	iti baba
beneath	iti sirok
benefit	pahimbagan
bent	bakkug
bent	nakilo
bent	nakulpi
beseech	makikakaasi
beseech	umasug
beside	arpad
beside	sikigan
besiege	lakuben
besmear	mulitan
bespeak	palwahen maipapan
best	kasayaatan
best friend	kadikketen nga gayyem
best	h8q6gl
bestow	ipaay
bestow	itden
bestow	ited
bet	agpusta
bet	agtaya
betel pepper	gawed
bet	intaya
bet	pusta
betray	ipalgak
betray	liputan
betrothal	panangtungpal iti kasar
better	nasaysayaat
between	baet
between	nagbaetan
between	nagtengngaan
beverage	inumen
beware	agaluad
beware	agannad
beyond	labes
bible	Biblia
bible	Nasantuan a Surat
bicycle	bisikleta
bicycle	bisikleta
bidder	gumagatang
bidder	tumatawar
bid	panagtawar
bid	tawar
bier	lungon
big	dakkel
big	dakkel
biggest	kadakkelen
bigwig	baknang
bigwig	nalaing
billboard	pahikaptan iti dua a bulan
bill	listaan ti utang; ti maipaulog a linteg iti lehislatura
bimonthly	maminsan iti dua a bulan
bind	igalut
bind or tie	repetten
bind	patapatan
bind	repetten
bind	reppeten
bird	bilit
bird	gikhik
bird	kongkong
bird	mangabuyo
bird manure	luhit
bird	pamulinawen
bird	panal
bird trap	talakob
bird	tumatayab
birth	ayanak
birthday	aldaw ti pannakayanak
birthday	kasangay
birthday	kasangay
birthday	panagtao
birthday	pinnakaeanak
birthmark	siding
birth	pannakayanak
birthplace	nagayyanakan
biscuit	biskuit
bisexual	silahis
bishop	obispo
bit	kabassitan
bitch	puta
bite	kagaten
bite	kumagat
bite	kagatin
bite	kumagat
bite	kumagát
bite	maysa a kagat
bite	sangkabassit
bit	missed
bit	sangkabassit
bittermelon	paria
bitter	napait
blackberry	lomboy
blackboard	pisara
blacker & blacker	ngumisngisit nga ngumisngisit
black	itim
black magic	manggagamud
blackmail	butbutngen tapno agbayad iti pasukib
blackmail	panagpadakes
black	nangisit
black	puttoy
blacksmith	pumapanday
bladder	basisaw
blade	bulong
blade	tadem
blame	agpatodon
blame	langdeten
blameless	nasingpet
blame	masisi
blame	pabasolen
bland	nasabeng
blank	awanan iti surat
blanket	ules
blasphemy	dakes
blasphemy	maisalungasing iti Dios
blasphemy	parbo
blast	panagdadael
blast	puloy ti angin
blaze	apuy
blaze	gilayab
bleach	dalusan
bleach	paputawen
bleed	agdara
bleed	pagdaraen
blemish	mulit
blemish	ruhit
blend	pagtiponen
bless	bendisionan
blessing	bendision
blessing	bendisyon
blight	panagmaga
blight	pannakadadael
blind	bulag
blind	bulsek
blind	bulsek
blind	masisirap
blink eyes	agkirem
bliss	ayat
bliss	pagragsakan
blister	aglapitog
blister	kapuyo
blockhead	awanan iti sursuro
block	lapdan
blood	dara
bloody	nadara
bloody	sugat
bloom	agsabong
bloom	panagsabong
blossom	sabong
blot	mulit
blot	ruhit
blouse	bado
blow	danog
blow	gulpi
blow horn	agbusina
blow nose	agpangres
blow on	agpuyot
blow-out	panagbettak
blow	panagpayugpog
blow pipe	anguyob
blow	puyot
blow	umihip
blue	asul
blue	asul
blue	mara baybay
bluff	alilaw
blunt	nangudel
blush	lumabbasit
board	agdagus
boarding house	balay a pagkaseraan
board	sumakay
board	tabla
boast	itangsit
boat	bangka
boat	banka
boat	sasakayan
boat	bapor
body	bahi
body odor	anglit
boil	aglambong
boil	burek
boil	ilingta
boil	ipaburek
boil	letteg
boil	maburek
boil	pagbureken
boil vegetables or meat	aglambong
bold	natured
bolo	buneng
bolt	ibakling
bolt	isahiped
bolt	turnilyo
bomb	bomba
bondage	pannakaadipen
bondage	pannakatagabo
bond	kasuratan
bond	patalhed
bond	reppet
bone	manarnar
bone	tulang
bookkeeper	mangtaming iti libro ti negosio
book	libro
book	lista
book	pagbasaan
bootblack	agdalos iti sapatos
boots	buta
border	irihid
border	nagbeddengan
bored	mauma
bore	lussoken
bore	singaen
born	aganak
borrow	bulod
borrow	buloden
borrow	bumulod
borrow	pahiram
bosom	barukong
boss	pangulo
boss	pinunu
boss	roherbest-thesis
boss	roher magno
bother	alimutengen
bother	ringgoren
bothersome	naalimuteng
bothersome	naringgor
both	isuda a dua
bottle	botelia
bottle	botela; praskita
bottle cap	tonsan
bottom	lansad
bottom	tukot
bough	sanga ti kayo
bought	ginatang
boulder	dadakkel a batbato
boundary	kategan
boundary	nagbaetan
boundary	pagbeddengan
bounty	naubon a sabsabong
bow	bai
bow	bai ti pana
bowels	tumakki
bowl	bandihado
bowl	duyog
bowl	malukong
bowl	malukong
bow	panagtung-ed
bow	ruknoy
bow	udaod ti biolin
box	buntalen
box	kahon
box	danuhen
box	kaha
box	kahon
boy	babaonen a lalaki
boy	do you want me to buy the whisky tonight?
boyfriend	nobio
boyfriend	ubing
boyish	inuubing
boy	lalaki
boy	ubing a lalaki
bracelet	pulseras
brag	agpalastog
brag	naparayag
braid	salapid
brain	utek
brain	utek
branch	sanga
branch	saringit
bran	tuyo
brave	natured
brdiesmaid	kadua ti agkasar a babai
breach	giwang
bread	tinapay
breakers	daluyon
breakfast	pammigat
break	mabuong
break	naboong
break	napugsat
break	perdi
breast	dibdíb
breast	soso
breast	suso
breast	susu
breath	anges
breathe	aganges
breathe hard	agal-al
breathe	huminga
breath	sang-aw
breezy	naangin
brethren	kabsat
bribe	pasukib
bribe	pasukiban
bribe	pasuksuk
bribery	panagpasukib
bribery	pangsaborno
bribe	saborno
bribe	sabornuan
brick	baldosa
brick	ladrilo
bride	kaayan-ayat a babai
bridegroom	kaayan-ayat a lalaki
bridegroom	nobio
bride	nobia
bride	trahe
bridge	andan
bridge	kalantay
bridge	rangtay
bridge	talaytay
bridge	taytay
bridle	abuhen
bridle	bosal
bridle	bosalan
bridle	isardeng
brief	abada
brief	kalsonsilyo
brigade	buyot
brigade	soldado nga adu
brigand	birkog
brigand	tulisan
bright	nalaing
bright	nalawag
bright	naraniag
bright	nasanag
bright	nasileng
brightness	raniag
brightren	lawagan
brightren	lawahen
brilliant	nalaing
brilliant	nasileng
bring	alaen
bring	ikuyog
bring	isangpet
bring	itugot
brink	deraas
brink	ihid
brisk	napartak
brisk	nasiglat
brittle	nalaka a madadael
brittle	narasi
brittle	narukop
broadast	iwaragawag
broadast	iwarnak
broad	nalawa
broil	iluto
broil	ituno
broke	awanan iti kuarta
broke	natokkol
broken	dadael
broken or rolling ground	likkalikkaong
brood	dahiti taraken
brook	waig
broom	kaykay
broom	kaykay
broom	sagad
broom	walis
broth	digo
brother	balarangeo
brother	kabsat a lalaki
brotherhood	panagkakabsat
brotherhood	timpuyog
brother-in-law	bayaw
brother-in-law	kayong
brother	kabsat
brother	manong
brow	kiday
brown	brown kolor
brown	kayumanghi
brown duck	itik
brown lizard	alibut
brown	mara daga
brown	mara-daga
brown	tsokolate
bruise	sugat
brush	dalusan
brush	eskoba
brush	gisihis
brusque	aagubsang
brusque	natangsit
bubble	burek
bubble	labutab
bucket	balde
bucket	timba
bucket	timba balde
bud	busel
buddy	kadua
buddy	gayyem
budget	presupuesto
budget	ti gastosen iti masapulan
bud	panangruhi
buggy	kalesa
buggy	karetala
bugle	trumpeta
build	agaramid
builder	nagaramid
builder	nagpatakder
building	balay
building	kamarin
build	mangaramid
build	mangipatakder
bulb	bombila
bulb	bumbilia
bulk	kaadu
bulk	kadakkel
bulk	kapuskol
bulky	adu
bulky	dakkel
bulky	napuskol
bull	a lalaki a baka
bull	bulog
bulldoze	butbutngen
bulldoze	rimbawan
bullet	bala
bulletin	pakdaar ti agturay
bullshit	oketnam
bull	toyo
bumblebee	alimbubuyog
bump	agtim-og
bump	dugol
bump	dugul
bump head	maitomeg
bump	matim-og
bump	tankobul
bunch	bulig
bundle	maysa a reppet sangkareppet
buneng	bangad
buneng	kaluban
buneng	mateptep
buneng	tirad
bungle	kulkolen
bungle	pagriruen
burden	awit
burden	baklay
burdensome	makapadagsen
bureau	asmangti kahon ayan ti lupt
bureau	buro
burglar	agtakaw
burglarize	takawan
burial	panangitanem
burial	pumpon
burn	ahinson
burn	aglapitog
burn	agpuor
burn bad	nakusep
burn brush	ahinson
burned food	nakset (kesset)
burned food	nasinit
burn good	narubrub
burn	magsunog
burn	mapuor
burn	masunog
burn	puoran
burn	sunuhin
burnt	nakset
burn	uramen
burn yourself	agsinit
burp	agtig-ab
burst	aghil-ayab
burst	bumtak
bury	aggabor
bury	ikali
bury	ikali
bury	ipumpon
bury	magaboran
bush	babassit a mulmula
business	negosio
business	pagsapulan
business	trabaho
busy	addaan iti aramid
butcher	agparparti
butcher	agparti
butler	agbambantay
butler	mayordomo
but	ngem
butterfly	kulibangbang
butterfly	kulibangbang
butter	mantikila
butt	kimmut
buttocks	ubet
button	botonis
button	butones
button	ibutones
button	isera
buy	aggatang
buyer	aggatang
buyer	gumagatang
buy	gatang
buy	gumatang
by	asideg
by	denna
bygone	aramid a nalpasen
bygone	naaramiden
bygone	nalpasen
by	iti abay
by-law	pagalagadan linteg
bystander	agbuybuya
bystander	awanan iti trabaho
bystander	nakakita
bystander	saksi
cabaret	kabaret
cabaret	pagsalaan
cab	auto
cabbage	repolo
cabin	kalapaw
cabinet	gabinete
cabinet	pagsuratan a lamisaan
cabin	siled iti uneg ti bapor
cable	kawar
cable	tali
cackle	agkotak
cad	darasudos
cad	dursok
cafeteria	kapeteria
cafeteria	pahinuman iti kape
cahapel	bassit a simbaan
cake	bibingka
cake	kankanen
calamity	dakes a tiempo
calamity	didigra
calendar	kalendario
calendar	kalenderio
calf	buhi
calf	urbon
calf	urbon ti baka
call	ayab
call	ayaban
calling	katungtong
call	surung-karan
callus	kalio
callus	lalat
calm	natalna
calm	naulimek
calumny	panangpadakes
camera	kamera
camera	pangala iti ladawan
campaign	aramid nga adda panghepna
campaign	kampania
campaign	tignay ti buyot
camp	kampo
camp	kampo
camp	pahinanaan
canal	kanal
canal	pagayusan ti danum
cancel	buraen
cancel	ikkaten
cancel	pannahibbet
candid	apahisu
candidate	agngayangay
candidate	kandidato
candid	nabatad
candid	rumbeng
candle	kandela
candle	kandela
candlelight	silaw ti kandela
candy	bagtit
candy	sinam-it
cane	baston
cane	sarukod
cane	sarukod
can	lata
can	mabalin
canner	ahilata
cannibal	agsidsida iti tao
cannon	kanion
cannot	saan a mabalin
canoe	maysa akita ti bangka
canteen	kapeteria
canteen	kanteen
canteen	panganan
canter	nainayad a taray
cant hook	kamsut
cant (squared timber)	tablon
canvas	lona
canvass	a kas tulong wenno botos
canvass	kiddawen ken urnongen
Can you smell me?	Mabalin nga ma-angot-nak?
capable	addaan iti kabaelan
capable	makabael
capacity	kabaelan nga awiten
cap	kalugong
cape	ungto ti daga a naiturong iti baybay
cap	gora
capital	kabesera
capitalize	pangrugyan
capitalize	puonan
capital	naipadakkel a letra
capital	puonan
capitulate	sumuko
cap	kalugong
captive	balud
captivity	panakatiliw
captivity	pannakaibalud
capture	kemmehen
capture	tiliwen
car	auto
caravan	agkukuyog nga agbanniaga wenno lumasat iti nawatiwat a tanap
carbarn	kamarin dahiti auto
carbarn	estasion
carbide	kalburo
card	karton
card	nipis
care	biang
care	bibiang
care	dungo
career	karera
career	tarigagay
careful	agannad
careful	naaluad
careful	naannad
careless	nadawel
carelessness	awanan iti aluad
careless	saan a naaluad
caress	lailo
caress	panagayat
carfare	plete
carfare	pagbayad iti panaglugan
cargo	kargada
cargo	kargamento
car	kotse
car	pagluganan
carpenter	alawahi
carpenter	karpentero
carpet	alpombra
carpet	pangabbong iti datar
carriage	karuahe
carriage	pagluganan
carrier	agamamit
carrier	kargador
carry	agawit
carry	agbunag
carry	amiten
carry	awiten
carry	baklayen
carry cargo for somebody	agkaryada
carry on head	agsosoon
carry on shoulder	agbaklay
carry	pagkinorosen
carry	pagornosen
carry to somebody	ipawit
cart	kalesa
cart	kareton
cart	dalayday
cartoon	karton
cartoon	ladawan
carve	ikitikit
carve	kalay
case	banag
case	kahon
case	kaha
case	kahon
case	pagsasaritaan
cash	kuarta
cashier	agbambantay iti pirak
cashier	kahera
cashier	kahero
cassava	kamoteng kahoy
cast	agparang iti pabuya
cast	ipurwak
cast	iwalin
castrated	kapon
casual	manmano
casual	saan a patinayon
casualty	nadangran
casualty	natay
catalog	katalogo
catalog	pakakitaan
catarrh	nadagsen a panateng
catch	agtiliw
catch	natiliw
catch	sippawen
catch something thrown	agsippaw
catch	tiliwen
catch up with	umabut
caterpillar	budwa-budwan
caterpillar	dakkel nga ighes
catfish	paltat
catfish	pating
cathedral	katedral
cathedral	dakkel a simbaan
cat	pusa
cattle	baka
cattle	baka
caucus	purok
caucus	taripnong
cauldron	kaldero
cauldron	paglutuan
cause	gapu
cause	pagruhian
cautious	agannad
cautious	naaluad
cautious	nainayad
cavalcade	libut dahiti sikakabalo
cave	kueba
cavernous	addaan iti rukib
cave	rukib
cavity	bukbok
cease	ahinana
cease	agsardeng
ceaselesss	kanayon
ceaselesss	di agsarday
ceiling	bodibida
ceiling	kangatuan
ceiling	ngato
celebrate	dayawen
celebrate	paala
celebrate	rambakan
celebration	panangdayaw
celebration	panangrambak
celebration	parambak
celebrity	maingel
celebrity	nalatak
celery	maysa a kita ti nateng
cellar	bodega
cellar	paset ti balay iti uneg ti daga
cell	siled
cemetery	kamposanto
cemetery	pahipumponan
